,#,Name,Country,Latitude,Longitude
19,240,Colomiers,France,43.61210010054112,1.3282149
0,241,Combs-la-Ville,France,48.66469939977548,2.5648769999999996
1,242,Comines,France,50.76532649929195,3.0066318999999995
2,243,Comines-Warneton,France,50.76830549929136,3.0001174999999995
3,244,Commercy,France,48.763202999751044,5.5914753
4,245,Compiègne,France,49.417949699589606,2.8263171
5,246,Concarneau,France,47.875701699967145,-3.922388899999999
6,247,Condé-sur-l'Escaut,France,50.44834149935474,3.5928883000000003
7,248,Condom,France,43.956456300534064,0.3745929
8,249,Conflans-Sainte-Honorine,France,48.993879099693864,2.0949768
9,250,Corbeil-Essonnes,France,48.61377339978809,2.4818086999999998
10,251,Cormeilles-en-Parisis,France,48.9759636996983,2.1998877
11,252,Corte,France,42.30529040050679,9.1511935
12,253,Cosne-Cours-sur-Loire,France,47.411561300073366,2.9273936999999997
13,254,Coudekerque-Branche,France,51.02087799924584,2.3894321
14,255,Couëron,France,47.21150540011692,-1.7271465999999998
15,256,Coulommiers,France,48.81213009973891,3.0843817999999996
16,257,Courbevoie,France,48.895332799718275,2.2561602
17,258,Courcouronnes,France,48.61762379978712,2.4087212
18,259,Cournon-d'Auvergne,France,45.73911400038102,3.1961892999999995
19,260,Courrières,France,50.45209999935398,2.94621
0,261,Coutances,France,49.04779199968052,-1.4454857
1,262,Couzeix,France,45.87892140036086,1.2379651999999999
2,263,Creil,France,49.26079139962799,2.4733770999999996
3,264,Crépy-en-Valois,France,49.23585089963412,2.8900506999999998
4,265,Créteil,France,48.77714859974759,2.4530731
5,266,Creutzwald,France,49.205300899641614,6.696245099999999
6,267,Croix,France,50.68021239930821,3.1564365
7,268,Cugnaux,France,43.53699360054172,1.3457537000000002
8,269,Cusset,France,46.13242390032148,3.4602735999999994
9,270,Dammarie-les-Lys,France,48.51508759981245,2.6347018
10,271,Dax,France,43.70840650053986,-1.0518770999999998
11,272,Deauville,France,49.359999999603716,0.0752778
12,273,Decazeville,France,44.558514800504334,2.2542070999999995
13,274,Décines-Charpieu,France,45.77360600037615,4.9633313999999995
14,275,Denain,France,50.32709259938022,3.3943728999999996
15,276,Deshaies,France,16.306162700059414,-61.793897400000006
16,277,Deuil-la-Barre,France,48.97564229969836,2.3275141
17,278,Déville-lès-Rouen,France,49.4695337995771,1.0495889
18,279,Dieppe,France,49.9246181994695,1.0791444
19,280,Digne-les-Bains,France,44.09181440052933,6.2351431
0,281,Dinan,France,48.4539774998275,-2.047687
1,282,Dinard,France,48.632037899783555,-2.0580178
2,283,Dives-sur-Mer,France,49.28664169962166,-0.1001559
3,284,Dole,France,47.09210470014219,5.4925463
4,285,Domont,France,49.02855359968527,2.3278096999999995
5,286,Douai,France,50.36756769937165,3.0804641
6,287,Douarnenez,France,48.09444589991507,-4.3311243
7,288,Douchy-les-Mines,France,50.29888839938625,3.3909157999999997
8,289,Doué-la-Fontaine,France,47.193793500120705,-0.27619170000000004
9,290,Dourdan,France,48.528844199809086,2.0153688999999995
10,291,Dozulé,France,49.23145959963521,-0.04474569999999999
11,292,Draguignan,France,43.53746620054171,6.462733299999999
12,293,Drancy,France,48.922980299711426,2.4455200999999995
13,294,Draveil,France,48.68515139977042,2.4083575999999995
14,295,Dreux,France,48.73588069975784,1.3684254
15,296,Ducos,France,14.57432469985704,-60.9719008
16,297,Dugny,France,48.95381549970378,2.414733
17,298,Dzaoudzi,France,-12.78215100019034,45.25569229999999
18,299,Eaubonne,France,48.99066959969464,2.2794325999999994
19,300,Échirolles,France,45.14370000045391,5.71927
0,301,Écully,France,45.775449800375874,4.7785644
1,302,Élancourt,France,48.76811819974985,1.9493520000000002
2,303,Elbeuf,France,49.28710859962156,1.0108998
3,304,Embrun,France,44.56417640050396,6.495818900000001
4,305,Enghien-les-Bains,France,48.96997319969978,2.3068481999999997
5,306,Épernay,France,49.0425609996818,3.9528655
6,307,Épinal,France,48.17476839989568,6.4503643
7,308,Épinay-sous-Sénart,France,48.687699999769784,2.5161999999999995
